mode,seed,step,js_divergence
deepseek,42,0,0.1416
deepseek,42,1,0.1416
deepseek,42,2,0.1421
deepseek,42,3,0.1434
deepseek,42,4,0.1434
deepseek,42,5,0.1443
deepseek,42,6,0.1459
deepseek,42,7,0.1481
deepseek,42,8,0.1502
deepseek,42,9,0.1473
deepseek,42,10,0.1490
deepseek,42,11,0.1512
deepseek,42,12,0.1529
deepseek,42,13,0.1557
deepseek,42,14,0.1519
deepseek,42,15,0.1532
deepseek,42,16,0.1532
deepseek,42,17,0.1533
deepseek,42,18,0.1537
deepseek,42,19,0.1509
deepseek,42,20,0.1524
deepseek,42,21,0.1539
deepseek,42,22,0.1509
deepseek,42,23,0.1505
deepseek,42,24,0.1470
deepseek,42,25,0.1457
deepseek,42,26,0.1433
deepseek,42,27,0.1417
deepseek,42,28,0.1417
deepseek,42,29,0.1435
deepseek,123,0,0.1416
deepseek,123,1,0.1415
deepseek,123,2,0.1419
deepseek,123,3,0.1424
deepseek,123,4,0.1431
deepseek,123,5,0.1443
deepseek,123,6,0.1460
deepseek,123,7,0.1475
deepseek,123,8,0.1500
deepseek,123,9,0.1484
deepseek,123,10,0.1488
deepseek,123,11,0.1494
deepseek,123,12,0.1506
deepseek,123,13,0.1541
deepseek,123,14,0.1525
deepseek,123,15,0.1534
deepseek,123,16,0.1534
deepseek,123,17,0.1534
deepseek,123,18,0.1541
deepseek,123,19,0.1511
deepseek,123,20,0.1521
deepseek,123,21,0.1533
deepseek,123,22,0.1513
deepseek,123,23,0.1508
deepseek,123,24,0.1472
deepseek,123,25,0.1478
deepseek,123,26,0.1452
deepseek,123,27,0.1427
deepseek,123,28,0.1426
deepseek,123,29,0.1449
deepseek,456,0,0.1416
deepseek,456,1,0.1415
deepseek,456,2,0.1418
deepseek,456,3,0.1428
deepseek,456,4,0.1427
deepseek,456,5,0.1438
deepseek,456,6,0.1462
deepseek,456,7,0.1470
deepseek,456,8,0.1502
deepseek,456,9,0.1482
deepseek,456,10,0.1494
deepseek,456,11,0.1516
deepseek,456,12,0.1547
deepseek,456,13,0.1569
deepseek,456,14,0.1539
deepseek,456,15,0.1544
deepseek,456,16,0.1548
deepseek,456,17,0.1565
deepseek,456,18,0.1563
deepseek,456,19,0.1543
deepseek,456,20,0.1549
deepseek,456,21,0.1545
deepseek,456,22,0.1521
deepseek,456,23,0.1534
deepseek,456,24,0.1499
deepseek,456,25,0.1520
deepseek,456,26,0.1497
deepseek,456,27,0.1453
deepseek,456,28,0.1456
deepseek,456,29,0.1431
deepseek,789,0,0.1417
deepseek,789,1,0.1415
deepseek,789,2,0.1418
deepseek,789,3,0.1421
deepseek,789,4,0.1419
deepseek,789,5,0.1426
deepseek,789,6,0.1440
deepseek,789,7,0.1460
deepseek,789,8,0.1473
deepseek,789,9,0.1479
deepseek,789,10,0.1498
deepseek,789,11,0.1510
deepseek,789,12,0.1529
deepseek,789,13,0.1538
deepseek,789,14,0.1524
deepseek,789,15,0.1526
deepseek,789,16,0.1560
deepseek,789,17,0.1574
deepseek,789,18,0.1571
deepseek,789,19,0.1544
deepseek,789,20,0.1553
deepseek,789,21,0.1520
deepseek,789,22,0.1494
deepseek,789,23,0.1480
deepseek,789,24,0.1449
deepseek,789,25,0.1443
deepseek,789,26,0.1434
deepseek,789,27,0.1420
deepseek,789,28,0.1425
deepseek,789,29,0.1439
deepseek,1024,0,0.1418
deepseek,1024,1,0.1415
deepseek,1024,2,0.1416
deepseek,1024,3,0.1421
deepseek,1024,4,0.1424
deepseek,1024,5,0.1435
deepseek,1024,6,0.1444
deepseek,1024,7,0.1455
deepseek,1024,8,0.1479
deepseek,1024,9,0.1479
deepseek,1024,10,0.1492
deepseek,1024,11,0.1514
deepseek,1024,12,0.1534
deepseek,1024,13,0.1534
deepseek,1024,14,0.1511
deepseek,1024,15,0.1541
deepseek,1024,16,0.1554
deepseek,1024,17,0.1564
deepseek,1024,18,0.1564
deepseek,1024,19,0.1535
deepseek,1024,20,0.1555
deepseek,1024,21,0.1575
deepseek,1024,22,0.1552
deepseek,1024,23,0.1570
deepseek,1024,24,0.1531
deepseek,1024,25,0.1516
deepseek,1024,26,0.1493
deepseek,1024,27,0.1455
deepseek,1024,28,0.1446
deepseek,1024,29,0.1431
rules,42,0,0.1416
rules,42,1,0.1416
rules,42,2,0.1421
rules,42,3,0.1434
rules,42,4,0.1445
rules,42,5,0.1455
rules,42,6,0.1475
rules,42,7,0.1500
rules,42,8,0.1522
rules,42,9,0.1540
rules,42,10,0.1560
rules,42,11,0.1586
rules,42,12,0.1600
rules,42,13,0.1629
rules,42,14,0.1627
rules,42,15,0.1637
rules,42,16,0.1644
rules,42,17,0.1637
rules,42,18,0.1622
rules,42,19,0.1598
rules,42,20,0.1581
rules,42,21,0.1572
rules,42,22,0.1567
rules,42,23,0.1527
rules,42,24,0.1494
rules,42,25,0.1459
rules,42,26,0.1425
rules,42,27,0.1420
rules,42,28,0.1421
rules,42,29,0.1443
rules,123,0,0.1416
rules,123,1,0.1415
rules,123,2,0.1419
rules,123,3,0.1424
rules,123,4,0.1439
rules,123,5,0.1452
rules,123,6,0.1472
rules,123,7,0.1488
rules,123,8,0.1516
rules,123,9,0.1542
rules,123,10,0.1553
rules,123,11,0.1565
rules,123,12,0.1572
rules,123,13,0.1590
rules,123,14,0.1595
rules,123,15,0.1600
rules,123,16,0.1588
rules,123,17,0.1590
rules,123,18,0.1588
rules,123,19,0.1595
rules,123,20,0.1586
rules,123,21,0.1540
rules,123,22,0.1502
rules,123,23,0.1470
rules,123,24,0.1439
rules,123,25,0.1421
rules,123,26,0.1415
rules,123,27,0.1417
rules,123,28,0.1430
rules,123,29,0.1466
rules,456,0,0.1416
rules,456,1,0.1415
rules,456,2,0.1418
rules,456,3,0.1428
rules,456,4,0.1439
rules,456,5,0.1452
rules,456,6,0.1482
rules,456,7,0.1494
rules,456,8,0.1531
rules,456,9,0.1544
rules,456,10,0.1558
rules,456,11,0.1579
